# 來源:票 84 身分改寫,由演練 B2(乾淨 clone,參數與本尊逐位元組相同)產出的 git-filter-repo commit-map。
# 產生時間:2026-08-27;本尊改寫於同日,HEAD 落在 e769e7bfc2caeae7189b4f86ca37ead71911cf3c(與 B2 相同,故本表對本尊逐條適用)。
# 適用範圍:key(old 欄)是【票 84 改寫前、票 39 改寫後】那一期的 sha —— 也就是 docs/ 散文裡現在寫著的那些。236 條,涵蓋當時全部 236 個 commit。
old                                      new
3d01d90009dbea885c83e6f62f3d484b77b312d2 8434e8b18efbb398b93f42a98b5d2c74004f41db
3e284856ad487a973c52dc102528e1d67332c303 c81e644f25199643da831865000fc6f948c28d92
3e6b0569201178c0cdeeb05d9b35e6bb5a1ea987 a691173062e661b7813280870d048a65bddc5978
3ee562a044db71b0edbbd3a6411aebb2989d7e85 a111172f4def6d23e2d42dd681128d07772b574c
3f05bda2568ba64b431271cb15d794c42e33e687 3d5163fd320bd97e2b10f33ba159fd53768e42df
45215409a3a723f95b9d622f15bb56198915cc72 9465c56be4ff193afc8a4bfa73c8b3de1ef9acea
458a3b71c9443a75fbaa3f9a9ef3c066c4488450 85d26b636f8d40c13a6ccbd2a8d7c5af5bbee218
45a8d16437cefe5c571b7cf3896937d3f083b458 91335c8e212d21230b03bd26acc04a7e87590f3c
46313062c3dca1a55971ee506ce8b8757b4fcc8d 39a11714212ce2c0a1b17950919482adbdf18b49
4654352987d5f1d8be353b75e64f36aafada9272 16a2563107fb31aaebba9e986f5653f829d4bad7
472b39612669fe8930e6ebf948e9ba6e0e32e5cd 5a0219f83f666bb03ec6980bec473eacf02fcbb6
492c26604c7e4980eda3f98e815ffed520f5c27d 8fab1d7dfe90a2e6b4bba0fa9946d2c6383b3ed7
4cf9fc0bda143f24aa4aaaaceef6a78a3e409a7d 155eaec75d85bfebaccec0b229a695ce97513fce
5072017d9e49a93f6bd2b7ac072b2294647bf41d 8ee35d97fd9eb140a98936b8b65995380b86bccf
521709e2b20aac95c1d032785061293f194f6ad0 5b30ef058c366a5456d3873f6010d78b06d8cc85
52557ebe79f29ab6aaa2b0042bd6c40e21a9c734 353dfcfe2c0114373873ec12a54dfb8a5e1e1eae
571f1c2c10bed633e83e989155ed19f1b68b6364 ec1ee0b17ef6e328f6b552f6d654d60401e36fde
58457836c05a4a485ff0c3773cad06d444c5a85c f7efef840c594525211bef24044aa359d12e0735
588adb5d9d3bfd7a5747ce02980545a4b1f6977c 9fd41b9f6b9d3a2b156d956554b7ff4cb1ffa565
5a6f28635cf8cbdf8d14aae86911128323992d3d c407829034d5c44df405ccaa931fd2c704618819
5aa5717ec20d0468cdd1f9a90744328b857056b5 40905886861a2a8140a62253d4379e35cf61d6f4
5b377b6b92b4f1d33289ed26cb9928dbceb07886 d8e4821cf8a2e3b26532e8a4e548640168a2376c
5baeb11218309f8bf4c5dc0c7919e58782d31e05 4ad3cd92761378a4d195297f44dfb1d4f6c3eecd
5c30df7372d3cc36a1d292b0dc3ceef1ceac61d5 ef53bc90fee2def967e46990f39f116711254356
5cc0a313ffbbfb5f0efeac26d6a1e6ad6953b992 d25b2930c3125e3e53b74895ff88cfc5d4c1b503
5db00abe84961a45123f12ca7c7f14d220d4caa6 974014cf2c1fc91186f1d8ac6c83a76ffd69ca4b
5dfd27b66fc8f66f2d794c8236360dddee36bfc0 2e3fa74bfc8f5c8ac9a341c0ba866ac16c514280
5e45a4e681427fde28152e047e67c95acafe8662 34f2437cedb1da8eb41f2156037cc2f598ec81ea
5e6a31090b58d78f83dcd2d84285dbf4b1d13c15 c1a2df953c208b75a8f4ef9b115771757898e0c5
5ef4f969943aaf43393a6298ac95d46eb4e3c0f3 7ea648def7e31cdf501f63ca3b6b9d3cf0b38faf
60903c44f0093d2b5aa69ec3777a4ee04c824dc8 593ee9f61215462dcafa9d3d0734d51886599ce7
62f4c7a05133a689c372f9772a561e94530833f2 70b7f33a00d04adf3ab300dd0f74169284070ca5
