# 來源:票 39 單刀歷史手術(2026-08-15)當時 git-filter-repo 留在 .git/filter-repo/commit-map 的表,票 84 動刀前自本尊複製保存。
# 產生時間:2026-08-15 20:42;票 84 改寫時該檔會被覆寫,此為動刀前的副本。
# 適用範圍:key(old 欄)是【票 39 改寫前】那一期的 sha,與上面那份不同期,兩份不可互換使用。97 條。
old                                      new
7c102134755d3c715b5924b52619e9ee058f1a3a eeb297839d752bd57ae581892fe208577b77e670
81bdfe5456877f61c3047ec7cd12e01f655d84f3 676f06c8cada827729b2f29b936f51a2bf86e59e
83f7190613999afcb21c0ead1c51b6d9a8ec2227 d64c74f9329e38e76a6695d9d9d024645cfd1fe4
89263ae79d0f4a21036d07024ae5497ba45055a6 97817e93df5f1ef521839e40d61153840ced4396
8943a3a8f5a60820636fd0a2dec728217847d570 d573db1496eb278f11d632495092641edc938540
89e053b30702dc0f8231c043ea3ea86ffab17d93 abfeeabb02974ed9efaaca0552b09ab513106923
8af8a03ca58c19c0090157a8ac4d6aaf2559cdf1 2b4953c989e003f5b632d8fb8b45a35969d96095
90e58c9695c8dc9882ee13711398287a04fb9923 348283ecfb2610ff771a583556047b378de1e573
92d514822a429f64793bbc8acf2e60d177fac185 944ee5a8a799e0cbd4d08c26334f7c2bb4bba9ef
994d321236a4b07ddb783fbb70667da0ffbabb5d f58ac92a54dda5f74e69c3291969810306506ae4
9abb322ff23573c519f7c6be5d526cb3cca25082 8723500f7f749d16fb6216ca91db76a6ab873ddc
9cd89afed88084ce3ff93d8a25d60667c2601115 de41915030b8bab7aa2f9c9be8b7a7c7b1343450
9ea7624acf885391e22064e421ef7a13b949e3b6 cc87a4c467c0e835719067bd50e69f3d1a875ca1
a19497772771d20527ee751f668f7385d1d3bfcd 3ee562a044db71b0edbbd3a6411aebb2989d7e85
a2caa9935e4a711d82fa271a96bbe9b0535f04a6 5ef4f969943aaf43393a6298ac95d46eb4e3c0f3
a4d7482314e02be42a90e01883784322f3b55601 5e6a31090b58d78f83dcd2d84285dbf4b1d13c15
a651f1bfa4f6a41777327e4b1f30ec2d822418b1 be57758ddf053c1ff5b64804bd29ee79af731c9c
a8ccfbc84d3a79caa1b8ae72387d70c1acfa2f5c 1aecfb53b1fae0967de84b86de812ab1f8304926
ae702cb389eeb1a0bd35298ccc4c01a851b80eaa 1da6d087f8de119fba2a996baf1d2e36f14e94b9
b01f5c249ad0251966b912f638cb0f1167634c35 db7205b3898f4f6be2d6f5ae77437fca1973195e
b1f67fb24a14190268da17da7205dd991995dd39 31a9a9a053ae14b53cdbf14d19dc8c5ebeb0ca7f
b23598f0fd5f01ced9c4a20b01f21037845d01c3 9874e88b3b5673de0e1c812624dfd70d329f7702
b3c44952ecfe12f45e52fd96dd499f11602c7b2d 5a6f28635cf8cbdf8d14aae86911128323992d3d
b71201607e8fde214ddcd2f5b6e3f8d82970c8a2 80425dfabe83b0b967d51c37ea296f36639c1ab1
b847ba1fc21ff13f0bf5c393e06b6348fff54614 ec2f7b4376225b0bfb16b8f482fc712d8c50513b
bc1d7404cf6e730e7fce180dd9bf85a5f73bd950 f12a360d3a420af424b4c4a21af0288091a51b94
bcf6113d4f199c34ea2d43725b3d48570531851d 0a9594404dac6ac7aeef88865a522467a448ee13
bece68ff6e1946f7442edcf97c8c73230a707213 be72a579dc01a5686d43873d781c473b1ec347b7
c1e9636a1809694bd8db9c9131239a589b0362c6 35ab574ee38d825cd3dba30b5c7301b35bb87667
c7d1bda4402769f369f7b2492a9923bfe4dfa67a ff00832d2c35c2326bb85eb5a182ce351fb6bca7
ca30d774c3e586006cf627c401ce4ff43493f45d 9516ab342cfa1da8188ea96f7f264f131f004cc4
d1a97745c3da8f8ac0879658dfb8450a1ca5ae21 84dfed8fac8d0fedc47bfdd7d5ea6f69344f9843
d5ec2fee9fd2b353cf38e217e921cbb19ebdaa6b dfc7cde60d0dbe349860064a87c4a80d16c6cea3
d95f147cb1661818c28a08612222da3e33b1ba31 79929cb040e6ea909981a49a0b4685e692ccf056
da4780849b01d0fc4a47b131ee62528555e31d6c df07b3d8cdaad1e2ef1f676f9a71a2ec2a49cd0c
dd54db7305f294b725cc46528890d9efa2ed150a bba09294513b9e895eb2b6a2c71b335e4341f9bb
e34ce21b493f0ecc27c69598aa84a5260a814063 0000000000000000000000000000000000000000
